"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 2018",0.80,2.90,3.30,0.10,6.30,1.40,12.60,-1.90,-0.90,0.80,3.00
"JUN 2018",2.40,2.80,8.20,1.70,7.40,3.80,14.80,-0.50,1.60,2.40,10.20
"SEP 2018",2.60,4.10,5.60,2.10,7.60,5.00,15.10,-0.30,0.00,2.60,6.20
"DIC 2018",3.70,4.00,4.70,3.70,11.90,2.90,13.40,2.00,-3.20,3.70,3.50
"MAR 2019",1.10,5.00,3.70,0.20,4.70,1.10,11.70,-1.60,-1.20,1.10,1.30
"JUN 2019",2.10,4.50,3.50,1.60,5.50,4.20,13.70,-0.50,-3.90,2.10,6.10
"SEP 2019",2.70,5.50,1.90,2.40,8.00,5.20,14.70,0.00,-2.10,2.70,6.30
"DIC 2019",4.50,5.70,4.00,4.30,9.80,2.80,16.80,3.00,0.10,4.50,4.00
"MAR 2020",-0.30,5.20,-4.80,-0.70,-0.50,-1.10,8.60,-1.40,-2.20,-0.30,1.60
"JUN 2020",-0.40,3.60,-4.00,-0.70,-0.30,-4.30,5.80,-0.50,-0.60,-0.40,3.10
"SEP 2020",0.50,4.40,-1.20,0.00,3.70,-2.60,8.20,-0.60,0.40,0.50,2.40
"DIC 2020",2.70,5.90,1.70,2.30,4.00,-3.00,5.60,3.00,1.20,2.70,2.20
"MAR 2021",0.00,5.20,2.60,-1.10,1.70,-3.80,5.60,-1.40,-0.60,0.00,2.20
"JUN 2021",1.00,4.00,4.70,0.10,3.40,-1.90,6.10,-0.40,0.40,1.00,4.40
"SEP 2021",1.40,5.60,1.50,0.60,6.20,0.00,5.90,-0.50,-1.00,1.30,4.70
"DIC 2021",2.50,6.90,2.30,1.60,5.20,-0.10,5.10,1.20,3.90,2.50,3.60
"MAR 2022",0.70,2.50,6.60,-0.30,6.40,-2.40,5.20,-1.40,0.80,0.70,3.80
"JUN 2022",2.70,3.50,18.10,0.90,6.80,0.70,6.90,-0.50,2.50,2.70,5.30
"SEP 2022",2.80,10.00,0.10,1.10,8.60,1.80,7.40,-0.70,4.90,2.80,4.40
"DIC 2022",3.20,8.70,4.80,1.70,5.00,1.90,9.20,0.50,1.30,3.20,4.40
"MAR 2023",1.70,8.90,4.20,-0.10,3.30,-0.80,5.60,-1.10,-0.70,1.70,4.50
"JUN 2023",1.50,6.50,1.80,0.50,3.50,2.70,5.90,-1.00,1.10,1.50,8.50
"SEP 2023",3.20,7.80,6.30,2.00,8.10,3.60,6.40,0.20,-0.60,3.20,3.90
"DIC 2023",2.60,5.40,-0.30,2.40,3.00,1.70,6.10,1.90,1.90,2.60,4.70
"MAR 2024",1.00,7.30,4.80,-0.50,2.50,-0.10,7.20,-1.80,-1.40,1.00,2.00
"JUN 2024",1.90,7.10,3.20,0.80,5.50,3.00,5.40,-0.90,0.90,1.90,7.30
"SEP 2024",2.10,7.80,-1.70,1.50,6.60,4.40,6.00,-0.40,-1.20,2.10,6.20
"DIC 2024",3.70,6.30,3.30,3.20,7.60,2.40,13.00,1.90,3.60,3.70,1.20
"MAR 2025",0.70,6.30,-0.90,-0.20,6.20,0.40,6.80,-1.90,0.20,0.60,3.30
"JUN 2025",2.10,5.20,0.10,1.80,9.00,4.00,10.40,-0.50,1.50,2.10,6.50
"SEP 2025",2.70,6.50,0.60,2.20,12.30,4.70,10.30,-0.60,1.50,2.70,5.50
"DIC 2025",3.30,6.20,4.10,2.70,8.00,2.30,6.50,1.60,0.70,3.20,7.40
"FUENTE","","","","","","","","","","",""
"NOTAS","","","","","","","","","","",""
